time,x_LK,y_LK,x_RK,y_RK,x_LA,y_LA,x_RA,y_RA,,,,,,
9.303509,168.5190829,414.7228386,182.7458886,413.5745607,180.651637,510.9161068,185.1701195,508.0906493,,14.27307054,5.32915511,96.95536971,,0
9.338746,168.5190829,414.7228386,182.7458886,413.5745607,180.651637,510.9161068,185.1701195,508.0906493,,14.27307054,5.32915511,96.95536971,,586.1433632
9.367589,167.7382319,412.916692,185.7587929,411.7523407,177.7698466,516.4525702,199.2744939,510.7994133,,18.05813758,22.23528813,104.0207257,,-448.965513
9.4061,170.6741321,415.8005153,177.4099625,415.1140336,184.6016993,512.8812394,182.1453976,508.5892282,,6.770721402,4.945177265,98.07468644,,-16.69286828
9.428662,179.6923638,412.8780095,179.3564947,419.8108053,180.5061786,518.7096076,183.3219844,515.1119817,,6.940926859,4.568552771,105.8347271,,30.89432394
9.469133,163.7644964,418.1907755,182.6886628,417.2847763,177.9032785,517.8299793,182.9041145,514.8549216,,18.94584146,5.818876955,100.6373494,,-69.88707031
9.495946,175.8738524,413.2390336,183.1394394,419.063488,176.4421206,520.9467336,179.0925188,518.0246839,,9.311982792,3.944994939,107.7091991,,31.44280645
9.529203,167.422255,416.0555235,180.4809855,414.9769349,181.8147343,514.8105013,177.1374749,513.0697501,,13.10319792,4.990688353,99.79824197,,156.6743452
9.554015,170.1375547,413.5352322,173.8427164,411.1245668,181.821992,508.7787649,173.1915354,506.6965209,,4.420354159,8.878092205,95.95757707,,437.6042201
9.606424,129.1624362,399.0986366,179.5339479,411.744817,153.1863296,496.9458293,183.1669124,507.5853447,,51.93471931,31.81249178,100.7532658,,0
9.641677,129.1624362,399.0986366,179.5339479,411.744817,153.1863296,496.9458293,183.1669124,507.5853447,,51.93471931,31.81249178,100.7532658,,-444.3210727
9.666555,151.1059475,409.5963415,177.6143376,412.2719328,161.0253336,491.8562667,176.7610234,505.3954888,,26.64307667,20.75867213,82.85583573,,399.9499252
9.692384,147.8182758,416.0184749,179.3856396,417.2934779,153.8426594,499.2527967,182.5165674,511.2666054,,31.59310194,31.08897875,83.45205524,,-143.9008308
9.726587,146.2380305,412.5146674,174.9952882,414.5415856,154.3922893,508.9163956,180.0568838,514.0200936,,28.82860156,26.16713863,96.74598253,,-316.0196047
9.764057,150.5085155,406.7629423,170.6198892,410.6941193,160.1523362,506.7314795,173.9633808,510.5375274,,20.49198635,14.32588404,100.4326227,,801.3015484
9.802919,126.2087906,416.2199812,153.3292232,416.172787,133.516271,484.375076,172.2703178,508.150839,,27.12047366,45.46606481,68.54572355,,0
9.838144,126.2087906,416.2199812,153.3292232,416.172787,133.516271,484.375076,172.2703178,508.150839,,27.12047366,45.46606481,68.54572355,,-614.8072843
9.864039,116.4146667,414.4242461,127.2554224,412.2480317,146.0362962,488.7939643,174.5992104,496.3506961,,11.05702913,29.54563019,80.0518327,,-561.9747861
9.901492,107.0599579,404.817493,112.3684111,403.3960816,144.6654228,485.5792498,153.1284199,486.3496322,,5.495460467,8.497988524,89.08777891,,2776.369475
9.924108,103.0063496,387.4178852,111.7774957,386.8192181,115.2722025,453.4155368,175.1168645,492.1537193,,8.791553117,71.28836057,67.12779725,,879.5254173
9.961658,86.72325283,384.219054,91.23367963,376.7734679,103.3900018,442.0206484,193.0454691,495.3443808,,8.705211215,104.31454,60.15650286,,-2499.71347
10.001719,108.5297035,360.3524365,80.38266431,358.1836317,184.0197896,492.7101319,180.1431025,491.1643133,,28.23047165,4.173518661,152.372283,,0
10.040677,108.5297035,360.3524365,80.38266431,358.1836317,184.0197896,492.7101319,180.1431025,491.1643133,,28.23047165,4.173518661,152.372283,,-101.57988
10.064627,108.3315601,359.558457,93.83348279,343.6261628,185.8668987,490.7791601,185.7323079,489.0436907,,21.54140766,1.740680534,152.4158839,,364.8926822
10.1028,104.061322,361.1029836,87.1822182,342.2516415,176.4419496,475.5747279,188.2614908,485.8625289,,25.3037002,15.66972889,135.4353554,,147.9703384
10.136022,77.36578915,365.41673,85.96727186,342.1819522,171.2124384,467.3031296,188.6268087,478.28068,,24.7758028,20.58559947,138.5208721,,-190.9382603
10.160794,78.45125547,363.672863,91.85109892,343.6273027,165.9286653,464.9863205,179.4672985,473.2390716,,24.11182889,15.85567689,133.8533298,,566.5657017
10.194955,113.3442896,380.1633557,86.50711713,370.7476973,148.905072,456.484755,179.8328824,473.3140047,,28.44096428,35.21012783,84.1993185,,-372.8841131
10.23818,105.0284039,392.2855742,159.7113061,403.3033652,164.8283416,488.4322562,183.852976,486.8273118,,55.78182062,19.09221204,113.2263971,,0
10.273285,105.0284039,392.2855742,159.7113061,403.3033652,164.8283416,488.4322562,183.852976,486.8273118,,55.78182062,19.09221204,113.2263971,,793.5215275
10.300022,105.0575868,397.6807591,117.1495395,395.7999073,151.6817394,487.2874362,190.8039731,496.9948474,,12.2373577,40.30859712,101.010733,,-490.9980315
10.335259,130.5623024,408.4100651,129.6269303,410.7117127,157.0134857,493.019782,177.9826385,502.4871185,,2.484452181,23.00729948,88.64800783,,177.7253237
10.362169,136.5804353,408.3195145,172.1211545,411.6894151,150.9085831,502.2444598,178.5759857,504.8507417,,35.70012537,27.78988794,95.01153177,,-372.8079765
10.400536,152.3269926,420.5245699,173.2046449,410.7396416,161.2305447,505.495577,173.6058905,510.8558791,,23.05691192,13.48636431,85.43620595,,-54.7279869
10.423176,155.4351783,404.3417133,161.7927522,408.8185114,165.4617583,501.0553715,176.6337853,506.0736108,,7.775632908,12.24732269,97.23201113,,-150.980945
10.461667,155.0970483,407.4901964,177.4339585,410.1315889,173.0635944,506.6248556,178.281801,502.8577183,,22.49254347,6.43591513,100.7495778,,541.5514267
10.495841,145.938089,410.3413789,182.7748434,415.2553882,161.1518498,507.578125,186.0745227,508.5822744,,37.16307256,24.94289359,98.41973029,,-479.648569
10.539915,175.57355,420.0955663,211.5676678,412.3805706,190.808305,506.301336,188.8194233,503.0600225,,36.81165135,3.802862556,87.54160433,,0
10.574109,175.57355,420.0955663,211.5676678,412.3805706,190.808305,506.301336,188.8194233,503.0600225,,36.81165135,3.802862556,87.54160433,,252.5140782
10.599913,175.9321422,417.6412786,206.1672392,411.2525459,191.1357384,506.1499118,182.2525915,500.8995775,,30.90270208,10.31873583,89.80494134,,15.24773071
10.638967,189.7897921,421.2702152,169.3568367,418.880525,194.2025626,506.0008056,183.8682135,502.4906144,,20.57222121,10.9142207,84.84542117,,-181.0196693
10.668935,179.1083642,417.0182165,207.394972,416.5804353,188.2369057,510.2587321,192.7380989,507.1165947,,28.28999528,5.489423254,93.68630647,,-69.17691567
10.707377,177.0124977,415.4550325,204.7231426,419.9319826,191.2012479,514.6945297,190.7525991,511.900193,,28.06996478,2.830124262,100.248683,,473.095854
10.73102,174.0463126,415.1665476,181.4935326,414.4425614,203.1027709,514.7150109,189.1704539,516.2400064,,7.482328631,14.01552954,103.7023351,,-248.5356156
10.769493,170.7913956,415.4263056,180.9439218,415.1868768,192.6749453,515.209106,188.7898225,513.0318276,,10.15534905,4.453618798,102.1542804,,-78.56391632
10.796304,168.4868031,414.5223583,187.160445,414.558305,190.9997796,516.925918,190.2115759,514.7149729,,18.6736765,2.347241638,104.8490494,,84.26429236
10.829628,168.9000942,413.6222869,187.6202654,414.1017145,191.7770778,515.1242172,187.3456119,512.4900444,,18.72630932,5.155264917,104.0480573,,903.1442188
10.855792,170.1955975,410.520162,186.3336348,411.4918227,215.756133,510.6396294,186.9844738,509.7590893,,16.16726237,28.78513026,109.9985007,,216.3234999
10.906814,180.7011871,416.8913394,173.2511742,417.8408849,217.422065,513.6608934,177.8066672,509.6059171,,7.510281544,39.82238787,103.5025094,,0
10.935613,180.7011871,416.8913394,173.2511742,417.8408849,217.422065,513.6608934,177.8066672,509.6059171,,7.510281544,39.82238787,103.5025094,,72.96611319
10.970912,141.1613494,404.1045644,176.9426564,412.3518057,188.4878101,505.7573109,148.6323945,491.2957122,,36.71946241,42.3980187,112.1297229,,0
