time	x_LK	y_LK	x_RK	y_RK	x_LA	y_LA	x_RA	y_RA	x_LW	y_LW	x_RW	y_RW	
18.091963	169.6179817	413.8112536	208.514485	414.4167224	200.2575161	510.519744	188.254081	510.8266963	112.6924626	217.8985477	86.99498039	213.5811155	26.05764404
18.119803	177.4340535	418.3127128	210.0498921	413.2473173	184.2614224	513.3162467	194.7415719	508.3396158	117.5366496	224.2250198	99.4089517	215.4385792	20.1448497
18.156227	195.7117887	421.2480241	207.2192288	418.9241093	208.4285703	503.2226183	187.3711089	499.8141111	101.3047939	219.5175895	90.01848629	223.8691444	12.09614688
18.180842	178.5451309	410.0242051	169.6300842	407.7770094	186.6015625	501.8785719	186.7068185	499.6388619	102.4838886	226.4499673	92.07356138	230.7907686	11.27907219
18.237035	176.120767	410.6977292	166.980275	408.6248328	186.0763087	500.6454432	186.7928472	498.1443033	92.14429566	232.7451286	84.74704371	229.9559407	7.905624925
18.278348	189.1552924	412.3067014	128.4194887	399.141689	192.9288515	501.6016385	174.7982847	498.5223507	103.8089927	253.4253785	96.66234117	249.4094077	8.197722245
18.310187	181.4351669	416.9570009	140.9826423	408.384492	183.280262	506.2471881	171.4949006	504.2119483	119.9805447	259.5954675	121.7740379	262.5501771	3.456432564
18.363116	166.8183062	418.9183715	200.9255305	421.405984	166.4993274	515.806025	179.6529213	514.6809643	138.2397556	284.5079949	133.0091424	285.3036083	5.290776373
18.391496	168.7945533	417.1973796	207.006399	418.3835041	169.6853151	514.113912	196.6196498	509.713909	145.2213415	297.1204326	134.9573086	295.4826195	10.39388293
18.426724	168.7945533	417.1973796	207.006399	418.3835041	169.6853151	514.113912	196.6196498	509.713909	145.2213415	297.1204326	134.9573086	295.4826195	10.39388293
18.455951	170.4116572	420.8346379	172.9786296	426.3223872	165.9965877	520.4085603	171.6266225	509.9373784	152.2582723	313.1983372	132.2522115	310.2742165	20.21862877
18.49501	165.9413189	418.4683548	171.3187774	428.2764622	165.598743	510.521568	179.2275277	519.5172285	170.3138489	312.0209144	137.5110956	305.7125866	33.40382655
18.530242	165.9413189	418.4683548	171.3187774	428.2764622	165.598743	510.521568	179.2275277	519.5172285	170.3138489	312.0209144	137.5110956	305.7125866	33.40382655
18.561019	141.5332601	411.3574219	165.4129871	420.4658241	150.4909981	504.4714783	176.9649805	513.5654791	193.9399167	323.020466	108.6142502	297.448417	89.07524378
