time,x_LK,y_LK,x_RK,y_RK,x_LA,y_LA,x_RA,y_RA,,,,,
12.577728,256.1809946,414.2856274,189.1011825,413.9042361,243.2762342,510.8092169,188.5844024,513.2886977,,,54.74800718,,-58.84899875
12.602722,257.109337,414.3886415,185.417794,412.6511582,244.244855,508.7923304,191.0476198,511.7090604,,,53.27713531,,65.27339637
12.657016,253.3144607,420.0411144,186.1427301,414.8907162,243.2445814,508.1155384,186.5263634,511.5331271,,,56.82108909,,93.22483537
12.68578,257.292908,416.3492522,181.7394212,412.6253192,244.1842853,509.063146,184.6832442,509.4949994,,,59.50260826,,0
12.725291,257.292908,416.3492522,181.7394212,412.6253192,244.1842853,509.063146,184.6832442,509.4949994,,,59.50260826,,127.4793432
12.747825,258.7739011,413.8944325,187.0287801,411.1961181,246.433229,504.9924763,184.0584722,505.234869,,,62.37522778,,-59.86443461
12.784299,255.4272176,414.7670689,187.240356,412.0639287,242.3535156,504.8080314,182.1639789,504.2939111,,,60.19173239,,9.728653702
12.807904,252.7239634,406.042604,187.3841045,411.7325435,241.8468051,496.8662223,181.7327335,502.9523726,,,60.42137726,,179.1966149
12.844379,253.8085178,400.3685858,187.5396325,410.8352839,244.193139,487.60328,179.9287907,506.4024881,,,66.95757379,,21.07814041
12.87857,252.108881,394.4819279,188.6086074,407.7911828,243.411053,482.4616975,179.219396,503.9041221,,,67.67825649,,-188.9961446
12.921645,249.0335451,390.4788196,186.5954827,405.416426,234.6441437,486.4944066,177.1157208,501.8294777,,,59.53724756,,0
12.956829,249.0335451,390.4788196,186.5954827,405.416426,234.6441437,486.4944066,177.1157208,501.8294777,,,59.53724756,,80.54894696
12.98171,249.6905399,383.5197288,184.530832,403.0155262,234.1186618,484.3083506,175.3565783,502.5938564,,,61.54138591,,19.53123949
13.016026,250.3585542,385.1649137,183.8877827,404.3156083,234.1330633,484.6753785,174.7502546,503.2217443,,,62.21161992,,57.39626358
13.041779,252.5854207,384.2338734,183.0122963,404.7068413,235.0152374,482.7294352,174.8377462,503.5873662,,,63.6897459,,135.2673048
13.074953,251.5648559,381.6431329,181.2482901,403.7981062,238.5859603,481.6196498,173.3092359,501.2936603,,,68.17710347,,-104.7500641
13.11904,249.7027374,393.5628572,184.7808624,411.1407922,238.0353234,483.1047468,177.4434582,502.2977338,,,63.55898739,,0
13.153317,249.7027374,393.5628572,184.7808624,411.1407922,238.0353234,483.1047468,177.4434582,502.2977338,,,63.55898739,,90.85966726
13.179104,250.1184795,398.2964494,185.4047605,409.7989877,241.3238312,489.1699599,177.083156,503.8739512,,,65.90198563,,-78.39576462
13.211538,248.5198808,405.0707153,185.1765792,411.8095285,241.8843856,496.8776219,179.1553304,505.7920036,,,63.3592974,,-210.1752764
13.236157,247.6107657,413.7304688,185.1973264,414.1423349,242.0512752,506.5965467,183.8734953,505.6804399,,,58.18499227,,2.500331706
13.288585,253.9411707,413.8845148,181.8264759,413.8213993,241.6034244,515.4557545,183.6081134,509.3476411,,,58.31607966,,0
13.314423,253.9411707,413.8845148,181.8264759,413.8213993,241.6034244,515.4557545,183.6081134,509.3476411,,,58.31607966,,-115.4246376
13.3487,256.1901523,411.146074,186.6478447,417.0954675,241.8963552,509.2655642,187.5708673,511.1930022,,,54.35966936,,-10.14969998
13.373743,255.6060387,412.2720848,188.2196924,418.4506095,242.005677,508.1137144,188.0343735,511.9219282,,,54.10549042,,-67.39920006
13.408752,254.3191801,414.766765,187.4616215,419.6687287,239.8057515,509.0845392,188.125304,511.6866032,,,51.74591183,,133.5440072
13.447139,255.7251262,414.4477292,183.9217154,413.9871869,241.2676313,509.6774304,184.4554809,512.291654,,,56.87226563,,44.94222498
13.469701,254.9845346,419.9346805,182.8926769,409.7050553,239.425804,508.2763102,181.6159639,505.3030004,,,57.88625211,,157.5271309
13.513774,256.1437941,415.9970057,185.6492431,400.3937789,242.0353158,503.4569553,177.8030954,494.6811922,,,64.82894535,,0
13.549034,256.1437941,415.9970057,185.6492431,400.3937789,242.0353158,503.4569553,177.8030954,494.6811922,,,64.82894535,,-11.07436057
13.587437,253.2509652,415.5420112,184.9018118,398.6685691,242.4841926,499.8258527,179.062614,488.6216409,,,64.40365668,,-1079.866404
13.610097,257.2410019,415.3779715,185.6530049,394.6935418,250.1668516,497.0749103,211.0433259,489.0708597,,,39.93388397,,-698.2620242
13.647486,252.7293972,410.5092184,186.14558,395.0090817,249.9248389,497.9338673,236.2390944,499.9021918,,,13.82656515,,-53.77746231
13.680822,253.0276097,401.5733296,188.2235302,384.0731776,250.0883846,495.469852,238.0579706,495.7569689,,,12.03383967,,127.4501697
13.705628,255.0761111,405.3990227,191.8713521,387.0353538,250.2877629,492.6336789,235.9747766,497.7363889,,,15.19536858,,2060.600492
13.735425,251.2987141,407.9027845,192.0379757,390.7048349,247.500304,495.6215041,180.0865607,459.2595224,,,76.59508143,,-524.3441876
13.787819,254.3024608,407.8536524,192.4763269,390.6834798,248.8915066,498.098135,200.2937287,490.936778,,,49.12259206,,235.6589587
13.81566,251.4027541,409.1107581,189.7365561,391.8784959,245.7570449,496.5322912,191.9764181,482.0995334,,,55.68357313,,0
13.850954,251.4027541,409.1107581,189.7365561,391.8784959,245.7570449,496.5322912,191.9764181,482.0995334,,,55.68357313,,186.1071778
13.886652,251.8710102,408.3168926,185.1006961,392.8699538,243.4237445,494.4076787,181.4765853,487.5350727,,,62.32722717,,-32.08488354
13.922254,249.2076164,411.5138619,187.6119437,399.9462321,241.2431603,498.228964,180.0621656,498.9238813,,,61.18494114,,80.05211705
13.957407,251.847717,415.5752219,186.9398255,408.3097489,244.8344024,500.9816163,180.9053152,503.9725195,,,63.99901321,,20.92870456
13.985151,251.2273529,417.9090163,188.4996276,411.4984345,247.9231897,504.5923897,183.5836804,510.156554,,,64.57965919,,0
14.02266,251.2273529,417.9090163,188.4996276,411.4984345,247.9231897,504.5923897,183.5836804,510.156554,,,64.57965919,,-39.94019512
14.045245,252.2334402,414.9570616,186.146416,414.2613464,246.1426541,504.5386217,183.0576666,513.2059369,,,63.67760988,,181.2129439
14.083693,253.5093932,412.5059278,182.7817972,417.0092868,245.7856198,503.7208551,175.8011042,513.3576271,,,70.64488515,,41.66131411
14.105409,253.1483691,410.6745881,178.8458323,417.5748951,246.9514151,504.2879833,176.4548501,516.5182697,,,71.54960225,,-102.308003
14.141734,252.8216956,409.3921753,181.2828687,418.8296449,245.4366032,503.2341698,178.8404745,516.1301906,,,67.83326404,,-42.42785847
14.18258,253.2531691,415.4499407,179.2603204,416.7586865,244.1210558,505.2572501,178.4295583,512.5969343,,,66.10025573,,0
14.221006,253.2531691,415.4499407,179.2603204,416.7586865,244.1210558,505.2572501,178.4295583,512.5969343,,,66.10025573,,61.70923778
14.2563,251.3606518,409.7518315,178.5297415,418.4475316,244.3143923,503.2941695,176.4791312,511.0590193,,,68.27822157,,-183.2794349
14.282112,250.8105849,402.7669777,176.2281698,416.2874286,235.8979815,491.9245121,173.931785,506.0122431,,,63.5474128,,308.1510247
14.317328,253.1348796,398.8514561,172.7064841,416.197904,245.7363357,487.3007737,173.9115508,506.7030946,,,74.39925929,,113.2767787
14.344189,252.86452,386.2165993,178.1282489,418.3186786,246.9148225,480.6226061,173.0784708,503.9775733,,,77.44198684,,41.7397464
14.376306,253.7522039,376.3408545,179.1366732,413.0420492,249.1475027,476.0696209,174.6278803,501.6335573,,,78.78254227,,-137.9269557
14.402237,256.5003344,372.5234451,182.3305645,418.3900778,243.9652617,478.6510138,174.1054763,506.4996504,,,75.20595839,,-4.799803795
14.454751,258.6565236,373.7546358,181.8244619,415.6944613,242.1528833,469.636658,178.8609557,509.7891081,,,74.95390149,,0
14.481461,258.6565236,373.7546358,181.8244619,415.6944613,242.1528833,469.636658,178.8609557,509.7891081,,,74.95390149,,-166.4157937
14.516844,253.3352839,381.667338,180.8514333,414.6744285,242.577479,482.5292589,178.4875441,508.2690905,,,69.06561146,,-69.42910344
14.547581,249.922749,383.0015807,179.5992674,414.8760868,241.6263375,484.0729876,178.8502022,507.2891841,,,66.93156911,,151.6370526
14.585969,251.7575085,384.6218005,181.3448824,412.4567197,246.7150261,481.0588293,178.2743343,505.7329919,,,72.75261228,,-35.38795215
14.621176,251.4741154,390.7573109,183.0951331,411.5596121,242.5026599,481.6585983,176.0896652,508.1637585,,,71.50670865,,-170.8435997
14.647027,249.479496,394.1616002,180.963073,411.6653621,239.7995197,483.4773225,176.4198725,505.4800356,,,67.09023076,,373.667528
