"time","x_LK","y_LK","x_RK","y_RK","x_LA","y_LA","x_RA","y_RA","x_LW","y_LW","x_RW","y_RW"
"5.075251","215.6690289092899","221.67171968096426","222.47187585496718","222.23439969905155","218.72803874331228","253.1593069826119","240.27699725080558","254.9018108204645","202.32280520428017","177.10567489208415","214.3190352740455","175.86029218977995"
"5.114241","211.7324608235044","219.334228515625","217.59591710428322","219.9912337366245","217.70374865105182","252.19555094084387","219.77030357034292","252.28727941847035","201.80796226174917","179.38445308700148","200.1191297004195","179.4025289928867"
"5.148234","205.52355577045842","219.66509178547545","211.49480987430084","219.78174208110408","206.3207672950359","254.12798668531133","209.250615338871","253.54365604860777","195.49073666821195","175.72131680143485","203.80175828748176","180.74904908651507"
"5.181218","205.52355577045842","219.66509178547545","211.49480987430084","219.78174208110408","206.3207672950359","254.12798668531133","209.250615338871","253.54365604860777","195.49073666821195","175.72131680143485","203.80175828748176","180.74904908651507"
"5.213244","198.05756588946986","221.84661081514474","210.82579901431785","222.52314206134486","199.64984748335667","258.2268669633086","208.19696876139957","256.5963595497933","194.85973242377494","182.83735579553746","205.98314242233099","178.54190004103845"
"5.24221","197.51960534715468","219.27426776811774","204.0018410293045","219.66310208687986","200.04503872051313","254.93570314399932","203.7827381178563","255.27914535581834","185.28668545377857","172.45170242962672","200.1921752454706","171.07213310508877"
"5.281481","193.39496015852993","215.06699950221912","196.10560411980182","215.95534933958538","199.53380421441818","249.09290263253894","200.24308117818276","250.01433542451974","182.06278356411116","176.25792839554964","191.82572871701728","175.40900156933975"
"5.315214","189.0319052373389","220.54787721151507","194.31312175112478","220.26722853842415","197.40438830898896","253.190906094206","203.89539215444128","251.26939683016172","183.1750756645945","182.34364075419506","182.99628944248542","174.5334667398772"
"5.349231","189.0319052373389","220.54787721151507","194.31312175112478","220.26722853842415","197.40438830898896","253.190906094206","203.89539215444128","251.26939683016172","183.1750756645945","182.34364075419506","182.99628944248542","174.5334667398772"
"5.380686","183.4382048729329","222.22569898315908","186.91628232725864","223.2950439453125","186.27804434809704","254.39490981046328","200.11676904106884","255.66440496184947","178.33975397844725","179.19168838916585","184.203041640701","178.1077747864482"
"5.415438","177.53281316497447","221.5747303053563","184.09711548326544","222.85154350072958","180.85259154798456","252.58357589068584","194.66727123928442","253.68033822501218","175.01554092822838","175.8934425918045","188.6856133724465","174.8510428699538"
"5.449297","184.1561994144425","220.3363958573991","174.6904275500821","220.81780174641295","188.20174565296693","254.40303722337063","171.32269405854817","254.06920626747933","180.85161356053928","175.00465434627313","168.22267619923397","172.87297895260826"
"5.482341","182.39811522487537","218.52772611031736","173.3005893573687","218.61399134773228","190.45255003457868","253.2886373913242","172.14808173866123","253.34765387509123","181.19750074097155","174.4196155117644","171.6851227162877","172.99377726395306"
"5.516206","173.40317686800827","217.4468813647556","180.61721694886918","217.330264792832","186.3063216747477","251.77039619178623","185.28081752910688","251.13976290810433","175.2382859998176","171.8245764112658","181.44744398065114","171.12271866260335"
"5.5452","172.6620310030095","216.40019873236872","180.3295706069887","216.40056969312383","187.0142328284594","251.68969536569796","184.35734445297302","251.3310100392145","174.24208775383028","169.24012655414032","182.98450300758452","168.03919169503894"
"5.575212","170.17556537078977","221.0879960709509","148.64886450860288","223.10163849708175","183.0707176594419","254.32631579447354","177.8029737658074","255.2700062317607","172.7775346926678","184.47440560782468","170.50543379134243","183.12741338232615"
"5.606565","147.28868631444553","222.6228293333536","172.73772385890382","219.04467678441148","175.9180715835512","254.76883825161116","179.1671988045659","256.4160388991063","168.31622575693095","180.6544203702578","178.16705488509243","179.75784194886916"
"5.645445","144.65252115568762","221.30210787405764","168.60559200776692","218.29833746884123","149.04508431876218","256.3447132630107","174.1014767657922","251.69947524015078","152.16464506512952","179.1726682195404","172.2629784016294","177.8237537428563"
"5.680334","148.75957943214982","214.71293432332203","148.834732708764","213.9508797612172","150.33403804793898","245.83478804413915","469.827090964707","173.48219768360894","155.9284803338552","185.66340227535267","154.79679710299126","186.02856255319796"
"5.710252","148.75957943214982","214.71293432332203","148.834732708764","213.9508797612172","150.33403804793898","245.83478804413915","469.827090964707","173.48219768360894","155.9284803338552","185.66340227535267","154.79679710299126","186.02856255319796"
"5.739287","147.17250815068704","218.60491967108464","150.0561209949538","218.53602214174975","149.41365069081348","252.12951992643485","149.8536607319279","253.01844306678623","146.00759020853602","177.524590755715","153.69302023802288","187.779328698778"
"5.780309","145.57928229305995","220.58760373601655","150.04806102945648","220.51041017524932","146.6465195236503","257.8173262896705","148.0131052217595","257.89134982216683","139.58530684296724","188.57278003024686","150.23920698945162","189.59676660916222"
"5.815243","137.97806878590862","226.13515321011675","152.23413275930204","226.56246627629503","139.80854090827913","265.42306720421936","146.88902668637525","259.0037936793227","131.62100706582868","190.03601786691394","152.38362994361017","191.2998474358585"
"5.849384","137.97806878590862","226.13515321011675","152.23413275930204","226.56246627629503","139.80854090827913","265.42306720421936","146.88902668637525","259.0037936793227","131.62100706582868","190.03601786691394","152.38362994361017","191.2998474358585"
"5.88353","137.39587117354694","227.84481015928992","146.76394546449418","228.09662506459756","139.9385710838704","261.03756915734436","142.59050207472035","261.00613866427534","114.81576823074995","185.77681509530038","137.1895326844449","183.57499439521524"
"5.912297","132.18874563966745","224.72000537679355","141.85166628351473","224.4944949613935","137.52580860894943","259.90586906462795","142.9820848754408","259.8107682165005","108.99358133397678","184.13969783560316","135.05943387398924","180.05039508982856"
"5.9425","138.03591337092658","222.62228975407345","138.4480929244817","222.17460757006933","136.99803262554718","257.8584354860774","141.63028702197838","257.72492333794384","109.93960713783592","185.19757673805327","136.51620519022072","179.97417951650658"
"5.980334","125.26323714794353","225.0844911805387","135.39159550648256","222.62707852018485","127.90813674629895","259.1207474882965","140.38390103945008","260.18520251322354","104.61959150143635","186.16858337639837","139.2184856726502","181.50783244923394"
"6.014561","110.40673946870442","225.91638753571863","129.31846208980576","223.63430441771038","113.64019359781585","255.75761728249637","135.38071118069067","260.1559977846851","103.71505428566543","181.98033528012525","139.50269219661965","180.8378098781007"
"6.048566","110.40673946870442","225.91638753571863","129.31846208980576","223.63430441771038","113.64019359781585","255.75761728249637","135.38071118069067","260.1559977846851","103.71505428566543","181.98033528012525","139.50269219661965","180.8378098781007"
"6.083233","107.86059974046998","229.05559234025418","128.50433812716594","226.63858067850197","113.22408523262708","257.81196422057394","135.50082658700907","262.8600993471851","99.3439731226821","182.25474506778943","135.63558651222795","182.77324703231398"
"6.116305","112.62149320966076","230.75192842594845","117.87189468799399","230.87630145002436","114.40758493623845","258.1739881938534","117.38812813962944","258.41346022312746","106.6762822370121","179.6720151196194","131.5028560653271","182.75517112642876"
"6.147268","110.30332572729208","229.73974514378648","117.12692118247661","230.6226317409412","110.85144553574143","258.06846672087795","116.01292603489027","258.1370270131627","97.73069852242675","178.91103971607492","107.27473467518848","178.59963502401507"
"6.176224","107.3274616879712","225.21264125957566","116.57547115815754","226.5261458459995","109.5332364924687","256.97541399410267","114.40348750607977","256.8802119748602","95.52821177916769","176.03976974784172","109.30717806686224","175.7626957874818"
"6.205284","105.98616033769304","226.26434872400904","114.02890988361048","227.67399959341566","109.41044005160202","259.0050414564081","113.05443813457563","258.97924282207566","94.74632767851715","179.20204156660384","106.14228423003557","179.84822147829527"
"6.248264","94.78673710804506","224.35909428577946","111.43966282944736","224.71899366564327","101.18131644994833","259.8502923987719","108.29106597306664","260.2611820206104","79.09995338054019","184.50185670370257","112.16655199815328","184.12394886536362"
"6.281943","93.5897985079873","222.32558859739788","100.62143549937683","221.48529503967052","91.24350545564052","259.20728251535144","103.15229838924186","254.67201749452823","78.00944679349314","187.70058384758028","98.18655027396949","187.70490048182154"
"6.315307","93.5897985079873","222.32558859739788","100.62143549937683","221.48529503967052","91.24350545564052","259.20728251535144","103.15229838924186","254.67201749452823","78.00944679349314","187.70058384758028","98.18655027396949","187.70490048182154"
"6.349319","92.26476884537634","225.81764452745017","97.95351947235227","225.0738344897556","94.52995638717474","256.4441307453794","101.34683239413607","256.1554558304961","76.08990193526569","186.33217706940053","96.29430475494742","183.58130072805204"
"6.382744","89.16952289032102","224.8564177635579","96.8295336771568","225.67408271522373","91.44357976653697","256.44649140473007","99.95618483250244","256.4087208551192","74.7222708023012","186.91006647844722","98.7839151226593","185.06612173592538"
"6.416324","86.1618489662497","226.24731825297908","88.97430479294596","226.80500716272496","90.91945437420203","255.72652402647742","95.05828881170963","255.68194128845454","79.23121447136431","187.64730039366492","78.25004013595878","183.7825300758451"
